"","Znamka","Leto","St.prodanih","Delez.na.trgu(%)"
"320","Nissan",2002,371711,2.53
"321","Opel",2002,1386364,9.44
"322","Peugeot",2002,1289702,8.78
"323","Porsche",2002,25186,0.17
"324","Renault",2002,1561696,10.63
"325","Land Rover",2002,86331,0.59
"326","Seat",2002,382398,2.6
"327","Skoda",2002,249683,1.7
"328","Subaru",2002,34253,0.23
"329","Suzuki",2002,197750,1.35
"330","Toyota",2002,670709,4.27
"331","Volkswagen",2002,1501393,10.22
"332","Volvo",2002,231818,1.58
"333","Alfa Romeo",2003,159611,1.11
"334","Aston Martin",2003,709,0
"335","Audi",2003,542074,3.75
"336","BMW",2003,506202,3.51
"337","Citroen",2003,918203,6.36
"338","Ferrari",2003,2227,0.02
"339","Fiat",2003,791201,5.48
"340","Ford",2003,1235596,8.56
"341","Honda",2003,195751,1.36
"342","Hyundai",2003,251876,1.74
"343","Jaguar",2003,48971,0.34
"344","Jeep",2003,39981,0.28
"345","Kia",2003,110424,0.76
"346","Lancia",2003,99511,0.69
"347","Lexus",2003,18318,0.13
"348","Mazda",2003,209209,1.45
"349","Mercedes Benz",2003,717559,4.97
"350","Mini",2003,116797,0.81
"351","Nissan",2003,409511,2.84
"352","Opel",2003,1346836,9.33
"353","Peugeot",2003,1201837,8.32
"354","Porsche",2003,33776,0.23
"355","Renault",2003,1526968,10.58
"356","Land Rover",2003,80525,0.56
"357","Seat",2003,381575,2.64
"358","Skoda",2003,250451,1.73
"359","Subaru",2003,39354,0.27
"360","Suzuki",2003,192296,1.33
"361","Toyota",2003,722807,4.69
"362","Volkswagen",2003,1420458,9.84
"363","Volvo",2003,216733,1.5
"364","Alfa Romeo",2004,158195,0.98
"365","Aston Martin",2004,1064,0.01
"366","Audi",2004,572706,3.54
"367","BMW",2004,593743,3.67
"368","Citroen",2004,934147,5.78
"369","Dacia",2004,66174,0.41
"370","Ferrari",2004,2268,0.01
"371","Fiat",2004,903180,5.59
"372","Ford",2004,1356044,8.39
"373","Honda",2004,261813,1.62
"374","Hyundai",2004,367427,2.27
"375","Jaguar",2004,59726,0.37
"376","Jeep",2004,37590,0.23
"377","Kia",2004,181180,1.12
"378","Lancia",2004,116626,0.72
"379","Lexus",2004,21122,0.13
"380","Mazda",2004,262646,1.62
"381","Mercedes Benz",2004,706111,4.37
"382","Mini",2004,124836,0.77
"383","Nissan",2004,409717,2.53
"384","Opel",2004,1454346,9
"385","Peugeot",2004,1244842,7.7
"386","Porsche",2004,39613,0.25
"387","Renault",2004,1679288,10.39
"388","Land Rover",2004,83066,0.51
"389","Seat",2004,405597,2.51
"390","Skoda",2004,412065,2.55
"391","Subaru",2004,50219,0.31
"392","Suzuki",2004,219652,1.36
"393","Toyota",2004,865913,5.05
"394","Volkswagen",2004,1550745,9.59
