"","Drzava","Leto","Stevilo"
"639","Latvia",2004,14093
"640","Lithuania",2004,134612
"641","Lithuania",2004,19651
"642","Lithuania",2004,56949
"643","Lithuania",2004,39319
"644","Lithuania",2004,18693
"645","Luxembourg",2004,48273
"646","Hungary",2004,188488
"647","Hungary",2004,64739
"648","Hungary",2004,84734
"649","Hungary",2004,29092
"650","Hungary",2004,9946
"651","Netherlands",2004,483885
"652","Austria",2004,311292
"653","Austria",2004,31688
"654","Austria",2004,79780
"655","Austria",2004,123022
"656","Austria",2004,76802
"657","Poland",2004,833021
"658","Poland",2004,179278
"659","Poland",2004,357601
"660","Poland",2004,196486
"661","Poland",2004,99656
"662","Romania",2004,149290
"663","Slovenia",2004,58945
"664","Slovakia",2004,71954
"665","Finland",2004,143160
"666","Finland",2004,6237
"667","Finland",2004,31979
"668","Finland",2004,72393
"669","Finland",2004,32033
"670","Sweden",2004,297405
"671","Sweden",2004,4076
"672","Sweden",2004,46171
"673","Sweden",2004,100116
"674","Sweden",2004,147042
"675","United Kingdom",2004,2668449
"676","Iceland",2004,13927
"677","Iceland",2004,985
"678","Iceland",2004,2966
"679","Iceland",2004,4678
"680","Iceland",2004,5298
"681","Liechtenstein",2004,1790
"682","Liechtenstein",2004,40
"683","Liechtenstein",2004,300
"684","Liechtenstein",2004,490
"685","Liechtenstein",2004,960
"686","Norway",2004,145538
"687","Norway",2004,10265
"688","Norway",2004,33520
"689","Norway",2004,65229
"690","Norway",2004,36524
"691","Switzerland",2004,267476
"692","Switzerland",2004,9136
"693","Switzerland",2004,48954
"694","Switzerland",2004,76767
"695","Switzerland",2004,132625
"696","Turkey",2004,432728
"697","Belgium",2005,484915
"698","Bulgaria",2005,168102
"699","Czech Republic",2005,125166
"700","Germany (until 1990 former territory of the FRG)",2005,3342122
"701","Croatia",2005,101916
"702","Cyprus",2005,38676
"703","Cyprus",2005,2939
"704","Cyprus",2005,11835
"705","Cyprus",2005,14155
"706","Cyprus",2005,9747
"707","Latvia",2005,69704
"708","Latvia",2005,2753
"709","Latvia",2005,21708
"710","Latvia",2005,24102
"711","Latvia",2005,21141
"712","Lithuania",2005,173644
"713","Lithuania",2005,15676
"714","Lithuania",2005,71259
"715","Lithuania",2005,55424
"716","Lithuania",2005,31285
"717","Luxembourg",2005,48517
"718","Netherlands",2005,465196
"719","Poland",2005,979082
"720","Poland",2005,155185
"721","Poland",2005,379217
"722","Poland",2005,271965
"723","Poland",2005,17271
"724","Slovenia",2005,60531
"725","Sweden",2005,297050
"726","Sweden",2005,3449
"727","Sweden",2005,42181
"728","Sweden",2005,101579
"729","Sweden",2005,149840
"730","Iceland",2005,22141
"731","Iceland",2005,1229
"732","Iceland",2005,4030
"733","Iceland",2005,6452
"734","Iceland",2005,10430
"735","Switzerland",2005,260682
"736","Switzerland",2005,8704
"737","Switzerland",2005,42617
"738","Switzerland",2005,74455
