"DRZAVA","LETO","TEŽA","Vrednost"
"Liechtenstein",2010,"From 1 250 to 1 499 kg","422"
"Liechtenstein",2010,"1 500 kg or over","1,020"
"Norway",2010,"Total","159,374"
"Norway",2010,"Less than 1 000 kg","9,058"
"Norway",2010,"From 1 000 to 1 249 kg","28,635"
"Norway",2010,"From 1 250 to 1 499 kg","54,294"
"Norway",2010,"1 500 kg or over","67,387"
"Switzerland",2010,"Total","296,600"
"Switzerland",2010,"Less than 1 000 kg","12,600"
"Switzerland",2010,"From 1 000 to 1 249 kg","64,500"
"Switzerland",2010,"From 1 250 to 1 499 kg","83,700"
"Switzerland",2010,"1 500 kg or over","135,800"
"Former Yugoslav Republic of Macedonia, the",2010,"Total","49,291"
"Turkey",2010,"Total","485,619"
"Belgium",2011,"Total","577,382"
"Bulgaria",2011,"Total","191,430"
"Czech Republic",2011,"Total","172,787"
"Germany (until 1990 former territory of the FRG)",2011,"Total","3,173,634"
"Estonia",2011,"Total","17,058"
"Estonia",2011,"Less than 1 000 kg","88"
"Estonia",2011,"From 1 000 to 1 249 kg","2,217"
"Estonia",2011,"From 1 250 to 1 499 kg","6,345"
"Estonia",2011,"1 500 kg or over","8,408"
"Ireland",2011,"Total","104,022"
"Greece",2011,"Total","107,737"
"Spain",2011,"Total","817,688"
"Spain",2011,"Less than 1 000 kg","64,806"
"Spain",2011,"From 1 000 to 1 249 kg","245,616"
"Spain",2011,"From 1 250 to 1 499 kg","332,291"
"Spain",2011,"1 500 kg or over","174,975"
"France",2011,"Total","2,160,928"
"France",2011,"Less than 1 000 kg","320,073"
"France",2011,"From 1 000 to 1 249 kg","751,195"
"France",2011,"From 1 250 to 1 499 kg","721,673"
"France",2011,"1 500 kg or over","367,822"
"Croatia",2011,"Total","48,883"
"Croatia",2011,"Less than 1 000 kg","3,282"
"Croatia",2011,"From 1 000 to 1 249 kg","16,366"
"Croatia",2011,"From 1 250 to 1 499 kg","19,776"
"Croatia",2011,"1 500 kg or over","9,459"
"Italy",2011,"Total","1,764,592"
"Cyprus",2011,"Total","27,929"
"Cyprus",2011,"Less than 1 000 kg","1,900"
"Cyprus",2011,"From 1 000 to 1 249 kg","7,828"
"Cyprus",2011,"From 1 250 to 1 499 kg","10,711"
"Cyprus",2011,"1 500 kg or over","7,490"
"Latvia",2011,"Total","43,468"
"Latvia",2011,"Less than 1 000 kg","600"
"Latvia",2011,"From 1 000 to 1 249 kg","5,525"
"Latvia",2011,"From 1 250 to 1 499 kg","15,891"
"Latvia",2011,"1 500 kg or over","21,452"
"Lithuania",2011,"Total","132,117"
"Lithuania",2011,"Less than 1 000 kg","2,174"
"Lithuania",2011,"From 1 000 to 1 249 kg","20,126"
"Lithuania",2011,"From 1 250 to 1 499 kg","54,409"
"Lithuania",2011,"1 500 kg or over","55,408"
"Luxembourg",2011,"Total","49,881"
"Hungary",2011,"Total","76,528"
"Hungary",2011,"Less than 1 000 kg","6,913"
"Hungary",2011,"From 1 000 to 1 249 kg","21,756"
"Hungary",2011,"From 1 250 to 1 499 kg","27,360"
"Hungary",2011,"1 500 kg or over","20,499"
"Malta",2011,"Total","15,875"
"Malta",2011,"Less than 1 000 kg","239"
"Malta",2011,"From 1 000 to 1 249 kg","1,617"
"Malta",2011,"From 1 250 to 1 499 kg","5,024"
"Malta",2011,"1 500 kg or over","8,995"
"Netherlands",2011,"Total","555,846"
"Austria",2011,"Total","356,145"
"Austria",2011,"Less than 1 000 kg","36,616"
"Austria",2011,"From 1 000 to 1 249 kg","87,834"
"Austria",2011,"From 1 250 to 1 499 kg","122,706"
"Austria",2011,"1 500 kg or over","108,989"
"Poland",2011,"Total","928,457"
"Poland",2011,"Less than 1 000 kg","45,139"
"Poland",2011,"From 1 000 to 1 249 kg","191,140"
"Poland",2011,"From 1 250 to 1 499 kg","326,470"
"Poland",2011,"1 500 kg or over","365,708"
"Portugal",2011,"Total","177,183"
"Romania",2011,"Total","176,555"
"Romania",2011,"Less than 1 000 kg","17,820"
"Romania",2011,"From 1 000 to 1 249 kg","71,179"
"Romania",2011,"From 1 250 to 1 499 kg","56,378"
"Romania",2011,"1 500 kg or over","31,178"
"Slovenia",2011,"Total","59,813"
"Slovakia",2011,"Total","130,772"
"Finland",2011,"Total","126,651"
"Finland",2011,"Less than 1 000 kg","2,075"
"Finland",2011,"From 1 000 to 1 249 kg","19,275"
"Finland",2011,"From 1 250 to 1 499 kg","50,019"
"Finland",2011,"1 500 kg or over","54,760"
"Sweden",2011,"Total","326,615"
"Sweden",2011,"Less than 1 000 kg","7,216"
"Sweden",2011,"From 1 000 to 1 249 kg","43,578"
"Sweden",2011,"From 1 250 to 1 499 kg","87,496"
"Sweden",2011,"1 500 kg or over","188,325"
"United Kingdom",2011,"Total","1,907,411"
"Liechtenstein",2011,"Total","2,029"
"Liechtenstein",2011,"Less than 1 000 kg","61"
"Liechtenstein",2011,"From 1 000 to 1 249 kg","373"
"Liechtenstein",2011,"From 1 250 to 1 499 kg","506"
"Liechtenstein",2011,"1 500 kg or over","1,089"
"Norway",2011,"Total","168,552"
"Norway",2011,"Less than 1 000 kg","9,144"
"Norway",2011,"From 1 000 to 1 249 kg","31,040"
"Norway",2011,"From 1 250 to 1 499 kg","61,481"
"Norway",2011,"1 500 kg or over","66,887"
"Switzerland",2011,"Total","328,000"
"Switzerland",2011,"Less than 1 000 kg","10,500"
"Switzerland",2011,"From 1 000 to 1 249 kg","66,000"
"Switzerland",2011,"From 1 250 to 1 499 kg","94,300"
"Switzerland",2011,"1 500 kg or over","157,300"
"Former Yugoslav Republic of Macedonia, the",2011,"Total","40,090"
"Turkey",2011,"Total","602,248"
"Belgium",2012,"Total","490,711"
"Bulgaria",2012,"Total","196,614"
"Czech Republic",2012,"Total","174,311"
"Germany (until 1990 former territory of the FRG)",2012,"Total","3,082,504"
"Estonia",2012,"Total","19,422"
"Estonia",2012,"Less than 1 000 kg","133"
"Estonia",2012,"From 1 000 to 1 249 kg","2,666"
"Estonia",2012,"From 1 250 to 1 499 kg","7,230"
"Estonia",2012,"1 500 kg or over","9,393"
"Ireland",2012,"Total","77,506"
"Greece",2012,"Total","64,301"
"Spain",2012,"Total","710,638"
"Spain",2012,"Less than 1 000 kg","95,345"
"Spain",2012,"From 1 000 to 1 249 kg","207,930"
"Spain",2012,"From 1 250 to 1 499 kg","253,325"
"Spain",2012,"1 500 kg or over","154,038"
"France",2012,"Total","1,857,013"
"France",2012,"Less than 1 000 kg","258,194"
"France",2012,"From 1 000 to 1 249 kg","644,537"
"France",2012,"From 1 250 to 1 499 kg","608,336"
"France",2012,"1 500 kg or over","345,355"
"Croatia",2012,"Total","40,825"
"Croatia",2012,"Less than 1 000 kg","3,203"
"Croatia",2012,"From 1 000 to 1 249 kg","12,594"
"Croatia",2012,"From 1 250 to 1 499 kg","15,803"
"Croatia",2012,"1 500 kg or over","9,210"
"Italy",2012,"Total","1,403,043"
"Cyprus",2012,"Total","20,556"
"Cyprus",2012,"Less than 1 000 kg","1,722"
"Cyprus",2012,"From 1 000 to 1 249 kg","6,239"
"Cyprus",2012,"From 1 250 to 1 499 kg","7,626"
"Cyprus",2012,"1 500 kg or over","4,969"
"Latvia",2012,"Total","50,135"
"Latvia",2012,"Less than 1 000 kg","553"
"Latvia",2012,"From 1 000 to 1 249 kg","4,983"
"Latvia",2012,"From 1 250 to 1 499 kg","16,421"
"Latvia",2012,"1 500 kg or over","28,178"
"Lithuania",2012,"Total","153,024"
"Lithuania",2012,"Less than 1 000 kg","2,145"
"Lithuania",2012,"From 1 000 to 1 249 kg","19,766"
"Lithuania",2012,"From 1 250 to 1 499 kg","60,598"
"Lithuania",2012,"1 500 kg or over","70,515"
"Luxembourg",2012,"Total","50,398"
"Hungary",2012,"Total","106,671"
"Hungary",2012,"Less than 1 000 kg","11,396"
"Hungary",2012,"From 1 000 to 1 249 kg","29,657"
"Hungary",2012,"From 1 250 to 1 499 kg","35,289"
"Hungary",2012,"1 500 kg or over","30,329"
"Malta",2012,"Total","13,037"
"Malta",2012,"Less than 1 000 kg","169"
"Malta",2012,"From 1 000 to 1 249 kg","1,051"
"Malta",2012,"From 1 250 to 1 499 kg","4,063"
"Malta",2012,"1 500 kg or over","7,754"
"Netherlands",2012,"Total","502,479"
"Austria",2012,"Total","336,010"
"Austria",2012,"Less than 1 000 kg","35,161"
"Austria",2012,"From 1 000 to 1 249 kg","78,824"
"Austria",2012,"From 1 250 to 1 499 kg","114,698"
"Austria",2012,"1 500 kg or over","107,327"
"Poland",2012,"Total","908,906"
"Poland",2012,"Less than 1 000 kg","44,296"
"Poland",2012,"From 1 000 to 1 249 kg","181,179"
"Poland",2012,"From 1 250 to 1 499 kg","300,929"
"Poland",2012,"1 500 kg or over","382,502"
"Portugal",2012,"Total","110,002"
"Romania",2012,"Total","242,025"
"Romania",2012,"Less than 1 000 kg","25,179"
"Romania",2012,"From 1 000 to 1 249 kg","78,420"
"Romania",2012,"From 1 250 to 1 499 kg","82,381"
"Romania",2012,"1 500 kg or over","56,045"
"Slovenia",2012,"Total","49,700"
"Slovakia",2012,"Total","130,818"
"Finland",2012,"Total","111,664"
"Finland",2012,"Less than 1 000 kg","2,446"
"Finland",2012,"From 1 000 to 1 249 kg","18,337"
"Finland",2012,"From 1 250 to 1 499 kg","41,036"
"Finland",2012,"1 500 kg or over","49,448"
"Sweden",2012,"Total","301,316"
"Sweden",2012,"Less than 1 000 kg","7,031"
"Sweden",2012,"From 1 000 to 1 249 kg","38,966"
"Sweden",2012,"From 1 250 to 1 499 kg","75,401"
"Sweden",2012,"1 500 kg or over","179,918"
"Liechtenstein",2012,"Total","2,108"
"Liechtenstein",2012,"Less than 1 000 kg","81"
"Liechtenstein",2012,"From 1 000 to 1 249 kg","337"
"Liechtenstein",2012,"From 1 250 to 1 499 kg","489"
"Liechtenstein",2012,"1 500 kg or over","1,201"
"Norway",2012,"Total","171,828"
"Norway",2012,"Less than 1 000 kg","9,943"
"Norway",2012,"From 1 000 to 1 249 kg","30,467"
"Norway",2012,"From 1 250 to 1 499 kg","62,516"
"Norway",2012,"1 500 kg or over","68,902"
"Switzerland",2012,"Total","334,000"
"Switzerland",2012,"Less than 1 000 kg","12,900"
"Switzerland",2012,"From 1 000 to 1 249 kg","60,800"
"Switzerland",2012,"From 1 250 to 1 499 kg","88,800"
"Switzerland",2012,"1 500 kg or over","171,600"
"Former Yugoslav Republic of Macedonia, the",2012,"Total","32,870"
"Turkey",2012,"Total","565,791"
"Belgium",2013,"Total","490,369"
"Bulgaria",2013,"Total","199,963"
"Czech Republic",2013,"Total","164,627"
"Germany (until 1990 former territory of the FRG)",2013,"Total","2,952,431"
"Estonia",2013,"Total","19,690"
"Estonia",2013,"Less than 1 000 kg","146"
"Estonia",2013,"From 1 000 to 1 249 kg","2,641"
"Estonia",2013,"From 1 250 to 1 499 kg","7,172"
"Estonia",2013,"1 500 kg or over","9,731"
"Greece",2013,"Total","64,932"
"Spain",2013,"Total","742,305"
"Spain",2013,"Less than 1 000 kg","191,855"
"Spain",2013,"From 1 000 to 1 249 kg","206,532"
"Spain",2013,"From 1 250 to 1 499 kg","206,592"
"Spain",2013,"1 500 kg or over","137,326"
"France",2013,"Total","1,756,953"
"France",2013,"Less than 1 000 kg","244,518"
"France",2013,"From 1 000 to 1 249 kg","698,874"
"France",2013,"From 1 250 to 1 499 kg","542,732"
"France",2013,"1 500 kg or over","270,829"
"Croatia",2013,"Total","46,563"
"Croatia",2013,"Less than 1 000 kg","3,221"
"Croatia",2013,"From 1 000 to 1 249 kg","14,158"
"Croatia",2013,"From 1 250 to 1 499 kg","17,786"
"Croatia",2013,"1 500 kg or over","11,398"
"Italy",2013,"Total","1,311,334"
"Cyprus",2013,"Total","14,771"
"Cyprus",2013,"Less than 1 000 kg","1,872"
"Cyprus",2013,"From 1 000 to 1 249 kg","4,533"
"Cyprus",2013,"From 1 250 to 1 499 kg","4,755"
"Cyprus",2013,"1 500 kg or over","3,611"
"Latvia",2013,"Total","55,808"
"Latvia",2013,"Less than 1 000 kg","524"
"Latvia",2013,"From 1 000 to 1 249 kg","4,480"
"Latvia",2013,"From 1 250 to 1 499 kg","16,976"
"Latvia",2013,"1 500 kg or over","33,828"
"Lithuania",2013,"Total","155,855"
"Lithuania",2013,"Less than 1 000 kg","2,059"
"Lithuania",2013,"From 1 000 to 1 249 kg","17,770"
"Lithuania",2013,"From 1 250 to 1 499 kg","57,733"
"Lithuania",2013,"1 500 kg or over","78,293"
"Hungary",2013,"Total","126,937"
"Hungary",2013,"Less than 1 000 kg","11,909"
"Hungary",2013,"From 1 000 to 1 249 kg","33,365"
"Hungary",2013,"From 1 250 to 1 499 kg","43,548"
"Hungary",2013,"1 500 kg or over","38,115"
"Malta",2013,"Total","13,094"
"Malta",2013,"Less than 1 000 kg","193"
"Malta",2013,"From 1 000 to 1 249 kg","1,309"
"Malta",2013,"From 1 250 to 1 499 kg","3,957"
"Malta",2013,"1 500 kg or over","7,635"
"Netherlands",2013,"Total","416,717"
"Austria",2013,"Total","319,035"
"Austria",2013,"Less than 1 000 kg","26,119"
"Austria",2013,"From 1 000 to 1 249 kg","83,281"
"Austria",2013,"From 1 250 to 1 499 kg","107,371"
"Austria",2013,"1 500 kg or over","102,264"
"Poland",2013,"Total","987,809"
"Poland",2013,"Less than 1 000 kg","45,838"
"Poland",2013,"From 1 000 to 1 249 kg","195,062"
"Poland",2013,"From 1 250 to 1 499 kg","325,764"
"Poland",2013,"1 500 kg or over","421,145"
"Romania",2013,"Total","279,740"
"Romania",2013,"Less than 1 000 kg","23,609"
"Romania",2013,"From 1 000 to 1 249 kg","92,534"
"Romania",2013,"From 1 250 to 1 499 kg","101,822"
"Romania",2013,"1 500 kg or over","61,775"
"Slovenia",2013,"Total","51,968"
"Slovakia",2013,"Total","113,876"
"Finland",2013,"Total","103,450"
"Finland",2013,"Less than 1 000 kg","1,963"
"Finland",2013,"From 1 000 to 1 249 kg","18,884"
"Finland",2013,"From 1 250 to 1 499 kg","39,464"
"Finland",2013,"1 500 kg or over","43,139"
"Sweden",2013,"Total","292,162"
"Sweden",2013,"Less than 1 000 kg","6,414"
"Sweden",2013,"From 1 000 to 1 249 kg","41,657"
"Sweden",2013,"From 1 250 to 1 499 kg","70,605"
"Sweden",2013,"1 500 kg or over","173,486"
"Liechtenstein",2013,"Total","1,920"
"Liechtenstein",2013,"Less than 1 000 kg","91"
"Liechtenstein",2013,"From 1 000 to 1 249 kg","330"
"Liechtenstein",2013,"From 1 250 to 1 499 kg","429"
"Liechtenstein",2013,"1 500 kg or over","1,070"
"Norway",2013,"Total","176,019"
"Norway",2013,"Less than 1 000 kg","10,896"
"Norway",2013,"From 1 000 to 1 249 kg","33,623"
"Norway",2013,"From 1 250 to 1 499 kg","62,946"
"Norway",2013,"1 500 kg or over","68,554"
"Switzerland",2013,"Total","310,200"
"Switzerland",2013,"Less than 1 000 kg","9,900"
"Switzerland",2013,"From 1 000 to 1 249 kg","60,600"
"Switzerland",2013,"From 1 250 to 1 499 kg","85,000"
"Switzerland",2013,"1 500 kg or over","154,700"
"Turkey",2013,"Total","654,905"
"Bulgaria",2014,"Total","211,033"
"Germany (until 1990 former territory of the FRG)",2014,"Total","3,036,773"
"Estonia",2014,"Total","21,128"
"Estonia",2014,"Less than 1 000 kg","159"
"Estonia",2014,"From 1 000 to 1 249 kg","3,235"
"Estonia",2014,"From 1 250 to 1 499 kg","8,051"
"Estonia",2014,"1 500 kg or over","9,683"
"Ireland",2014,"Total","84,136"
"Greece",2014,"Total","84,445"
"France",2014,"Total","1,765,855"
"France",2014,"Less than 1 000 kg","271,160"
"France",2014,"From 1 000 to 1 249 kg","700,863"
"France",2014,"From 1 250 to 1 499 kg","561,340"
"France",2014,"1 500 kg or over","232,492"
"Croatia",2014,"Total","68,522"
"Croatia",2014,"Less than 1 000 kg","5,365"
"Croatia",2014,"From 1 000 to 1 249 kg","19,449"
"Croatia",2014,"From 1 250 to 1 499 kg","28,313"
"Croatia",2014,"1 500 kg or over","15,395"
"Cyprus",2014,"Total","17,933"
"Cyprus",2014,"Less than 1 000 kg","3,366"
"Cyprus",2014,"From 1 000 to 1 249 kg","5,194"
"Cyprus",2014,"From 1 250 to 1 499 kg","4,534"
"Cyprus",2014,"1 500 kg or over","4,839"
"Latvia",2014,"Total","13,173"
"Latvia",2014,"Less than 1 000 kg","202"
"Latvia",2014,"From 1 000 to 1 249 kg","1,601"
"Latvia",2014,"From 1 250 to 1 499 kg","5,203"
"Latvia",2014,"1 500 kg or over","6,167"
"Lithuania",2014,"Total","139,438"
"Lithuania",2014,"Less than 1 000 kg","2,968"
"Lithuania",2014,"From 1 000 to 1 249 kg","13,721"
"Lithuania",2014,"From 1 250 to 1 499 kg","48,189"
"Lithuania",2014,"1 500 kg or over","74,560"
"Hungary",2014,"Total","164,420"
"Hungary",2014,"Less than 1 000 kg","14,640"
"Hungary",2014,"From 1 000 to 1 249 kg","41,977"
"Hungary",2014,"From 1 250 to 1 499 kg","56,818"
"Hungary",2014,"1 500 kg or over","50,985"
"Malta",2014,"Total","15,439"
"Malta",2014,"Less than 1 000 kg","187"
"Malta",2014,"From 1 000 to 1 249 kg","2,075"
"Malta",2014,"From 1 250 to 1 499 kg","5,113"
"Malta",2014,"1 500 kg or over","8,064"
"Austria",2014,"Total","303,318"
"Austria",2014,"Less than 1 000 kg","23,455"
"Austria",2014,"From 1 000 to 1 249 kg","82,829"
"Austria",2014,"From 1 250 to 1 499 kg","102,218"
"Austria",2014,"1 500 kg or over","94,816"
"Poland",2014,"Total","1,047,598"
"Poland",2014,"Less than 1 000 kg","44,492"
"Poland",2014,"From 1 000 to 1 249 kg","198,013"
"Poland",2014,"From 1 250 to 1 499 kg","343,346"
"Poland",2014,"1 500 kg or over","461,747"
"Portugal",2014,"Total","199,288"
"Slovenia",2014,"Total","54,086"
"Slovakia",2014,"Total","125,813"
"Finland",2014,"Total","106,235"
"Finland",2014,"Less than 1 000 kg","1,635"
"Finland",2014,"From 1 000 to 1 249 kg","19,695"
"Finland",2014,"From 1 250 to 1 499 kg","43,868"
"Finland",2014,"1 500 kg or over","41,037"
"Sweden",2014,"Total","324,030"
"Sweden",2014,"Less than 1 000 kg","6,005"
"Sweden",2014,"From 1 000 to 1 249 kg","47,081"
"Sweden",2014,"From 1 250 to 1 499 kg","85,690"
"Sweden",2014,"1 500 kg or over","185,254"
"Liechtenstein",2014,"Total","1,800"
"Liechtenstein",2014,"Less than 1 000 kg","60"
"Liechtenstein",2014,"From 1 000 to 1 249 kg","282"
"Liechtenstein",2014,"From 1 250 to 1 499 kg","395"
"Liechtenstein",2014,"1 500 kg or over","1,063"
"Norway",2014,"Total","172,042"
"Norway",2014,"Less than 1 000 kg","7,739"
"Norway",2014,"From 1 000 to 1 249 kg","36,516"
"Norway",2014,"From 1 250 to 1 499 kg","60,817"
"Norway",2014,"1 500 kg or over","66,970"
"Switzerland",2014,"Total","304,100"
"Switzerland",2014,"Less than 1 000 kg","9,200"
"Switzerland",2014,"From 1 000 to 1 249 kg","58,700"
"Switzerland",2014,"From 1 250 to 1 499 kg","84,200"
"Switzerland",2014,"1 500 kg or over","152,000"
"Turkey",2014,"Total","585,814"
"Turkey",2014,"Less than 1 000 kg","1,170"
"Turkey",2014,"From 1 000 to 1 249 kg","178,508"
"Turkey",2014,"From 1 250 to 1 499 kg","312,923"
"Turkey",2014,"1 500 kg or over","93,213"
