"DRZAVA","LETO","TEŽA","Vrednost"
"Finland",2002,"1 500 kg or over","22,708"
"Sweden",2002,"Total","281,446"
"Sweden",2002,"Less than 1 000 kg","4,286"
"Sweden",2002,"From 1 000 to 1 249 kg","46,496"
"Sweden",2002,"From 1 250 to 1 499 kg","96,931"
"Sweden",2002,"1 500 kg or over","133,733"
"United Kingdom",2002,"Total","2,756,342"
"Iceland",2002,"Total","7,375"
"Iceland",2002,"Less than 1 000 kg","694"
"Iceland",2002,"From 1 000 to 1 249 kg","1,841"
"Iceland",2002,"From 1 250 to 1 499 kg","2,903"
"Iceland",2002,"1 500 kg or over","1,937"
"Liechtenstein",2002,"Total","2"
"Liechtenstein",2002,"Less than 1 000 kg","0"
"Liechtenstein",2002,"From 1 000 to 1 249 kg","0"
"Liechtenstein",2002,"From 1 250 to 1 499 kg","1"
"Liechtenstein",2002,"1 500 kg or over","1"
"Switzerland",2002,"Total","293,034"
"Former Yugoslav Republic of Macedonia, the",2002,"Total","32,641"
"Turkey",2002,"Total","170,191"
"Belgium",2003,"Total","463,173"
"Bulgaria",2003,"Total","143,480"
"Czech Republic",2003,"Total","144,849"
"Germany (until 1990 former territory of the FRG)",2003,"Total","3,236,938"
"Estonia",2003,"Total","15,824"
"Estonia",2003,"Less than 1 000 kg","466"
"Estonia",2003,"From 1 000 to 1 249 kg","5,103"
"Estonia",2003,"From 1 250 to 1 499 kg","6,595"
"Estonia",2003,"1 500 kg or over","3,660"
"Ireland",2003,"Total","142,992"
"Greece",2003,"Total","272,515"
"France",2003,"Total","2,009,246"
"France",2003,"Less than 1 000 kg","442,001"
"France",2003,"From 1 000 to 1 249 kg","589,925"
"France",2003,"From 1 250 to 1 499 kg","754,042"
"France",2003,"1 500 kg or over","223,278"
"Croatia",2003,"Total","104,399"
"Cyprus",2003,"Total","29,961"
"Cyprus",2003,"Less than 1 000 kg","10,019"
"Cyprus",2003,"From 1 000 to 1 249 kg","13,026"
"Cyprus",2003,"From 1 250 to 1 499 kg","4,907"
"Cyprus",2003,"1 500 kg or over","2,009"
"Latvia",2003,"Total","50,290"
"Latvia",2003,"Less than 1 000 kg","3,875"
"Latvia",2003,"From 1 000 to 1 249 kg","20,226"
"Latvia",2003,"From 1 250 to 1 499 kg","16,000"
"Latvia",2003,"1 500 kg or over","10,189"
"Lithuania",2003,"Total","118,263"
"Lithuania",2003,"Less than 1 000 kg","21,947"
"Lithuania",2003,"From 1 000 to 1 249 kg","53,708"
"Lithuania",2003,"From 1 250 to 1 499 kg","30,410"
"Lithuania",2003,"1 500 kg or over","12,198"
"Luxembourg",2003,"Total","43,765"
"Hungary",2003,"Total","190,107"
"Hungary",2003,"Less than 1 000 kg","73,880"
"Hungary",2003,"From 1 000 to 1 249 kg","84,924"
"Hungary",2003,"From 1 250 to 1 499 kg","24,116"
"Hungary",2003,"1 500 kg or over","7,187"
"Netherlands",2003,"Total","488,977"
"Austria",2003,"Total","300,121"
"Austria",2003,"Less than 1 000 kg","29,128"
"Austria",2003,"From 1 000 to 1 249 kg","80,882"
"Austria",2003,"From 1 250 to 1 499 kg","118,692"
"Austria",2003,"1 500 kg or over","71,419"
"Poland",2003,"Total","274,392"
"Poland",2003,"Less than 1 000 kg","72,927"
"Poland",2003,"From 1 000 to 1 249 kg","111,138"
"Poland",2003,"From 1 250 to 1 499 kg","65,310"
"Poland",2003,"1 500 kg or over","25,017"
"Slovenia",2003,"Total","55,314"
"Slovakia",2003,"Total","71,954"
"Finland",2003,"Total","148,020"
"Finland",2003,"Less than 1 000 kg","7,352"
"Finland",2003,"From 1 000 to 1 249 kg","40,294"
"Finland",2003,"From 1 250 to 1 499 kg","69,911"
"Finland",2003,"1 500 kg or over","29,809"
"Sweden",2003,"Total","293,035"
"Sweden",2003,"Less than 1 000 kg","3,449"
"Sweden",2003,"From 1 000 to 1 249 kg","46,250"
"Sweden",2003,"From 1 250 to 1 499 kg","96,831"
"Sweden",2003,"1 500 kg or over","146,505"
"United Kingdom",2003,"Total","2,720,096"
"Iceland",2003,"Total","10,833"
"Iceland",2003,"Less than 1 000 kg","793"
"Iceland",2003,"From 1 000 to 1 249 kg","2,650"
"Iceland",2003,"From 1 250 to 1 499 kg","3,987"
"Iceland",2003,"1 500 kg or over","3,403"
"Liechtenstein",2003,"Total","1,770"
"Liechtenstein",2003,"Less than 1 000 kg","60"
"Liechtenstein",2003,"From 1 000 to 1 249 kg","360"
"Liechtenstein",2003,"From 1 250 to 1 499 kg","480"
"Liechtenstein",2003,"1 500 kg or over","870"
"Switzerland",2003,"Total","269,711"
"Turkey",2003,"Total","176,217"
"Belgium",2004,"Total","489,346"
