;;;;;;;;;;;;;;;;;;;
;;;;;NEW PC REGISTRATIONS OR SALES;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;Estimated figures;;;;;;;;;;;;;;;
AUSTRALIA;;;;789.096;769.241;835.195;791.225;728.715;827.407;803.450;882.680;899.965;883.949;924.154;927.274;;;;
AZERBAIDJAN;;;;12.100;13.000;15.000;15.000;10.000;13.000;10.000;14.000;21.000;23.300;9.100;3.400;;;;
BAHRAIN;;;;18.000;18.000;20.000;30.000;28.000;29.000;26.000;40.000;43.500;49.600;47.700;39.200;;;;
BANGLADESH;;;;6.500;9.000;12.000;17.000;21.500;20.700;20.800;24.600;24.000;29.300;28.500;15.400;;;;
BRUNEI;;;;15.000;15.000;10.000;15.000;10.000;10.000;15.000;15.000;14.700;18.100;13.900;13.400;;;;
CAMBODGE;;;;1.000;1.000;1.500;1.500;1.500;1.500;2.000;2.000;2.000;2.400;1.000;800;;;;
CHINA;;;;3.971.101;5.175.961;6.297.538;6.755.609;10.331.315;13.757.794;14.472.416;15.495.240;17.927.730;19.707.677;21.210.339;24.376.902;;;;
HONG-KONG;;;;27.483;27.877;33.462;35.182;28.797;41.638;44.845;45.283;46.147;48.500;45.100;41.600;;;;
INDIA;;;;1.106.863;1.311.373;1.511.812;1.545.414;1.816.878;2.387.197;2.510.313;2.781.919;2.553.979;2.570.736;2.772.270;2.966.637;;;;
INDONESIA;;;;364.319;222.387;314.769;425.267;359.367;541.475;602.291;780.785;880.032;863.268;755.566;834.919;;;;
IRAK;;;;2.000;5.000;4.000;20.000;35.000;65.000;71.500;80.000;78.200;61.000;33.500;16.000;;;;
IRAN;;;;730.000;850.000;900.000;1.000.000;1.100.000;1.410.403;1.452.965;901.268;691.709;1.106.700;1.055.400;1.320.300;;;;
ISRAEL;;;;130.000;130.000;200.000;170.000;160.000;200.000;210.000;190.000;200.000;228.000;247.300;276.900;;;;
JAPAN;;;;4.748.482;4.612.318;4.325.508;4.184.266;3.905.310;4.203.181;3.509.036;4.572.333;4.562.282;4.699.591;4.215.889;4.146.459;;;;
JORDAN;;;;10.000;5.000;5.000;9.000;10.500;10.000;11.000;11.500;14.500;15.700;14.700;12.400;;;;
KAZAKHSTAN;;;;39.800;39.000;39.400;39.000;40.000;24.000;38.348;86.959;153.664;151.424;81.500;39.361;;;;
KIRGHIZISTAN;;;;5.000;5.000;5.000;4.000;4.500;4.000;5.000;4.000;4.000;4.000;4.000;1.800;;;;
KUWAIT;;;;50.000;65.000;70.000;80.000;90.000;90.000;95.000;116.500;125.000;126.300;124.200;95.400;;;;
LAOS;;;;1.000;1.000;1.500;2.000;3.000;4.000;4.000;5.000;6.000;9.800;5.600;4.200;;;;
LEBANON;;;;15.000;15.000;20.000;33.000;32.000;33.000;31.000;35.500;35.500;38.300;38.700;35.600;;;;
MALAYSIA;;;;410.892;374.169;442.885;497.459;486.342;543.594;535.113;552.189;576.657;588.348;591.275;514.545;;;;
MONGOLIA;;;;500;500;1.000;3.000;3.000;3.000;3.000;2.000;1.500;1.100;700;1.300;;;;
MYANMAR;;;;1.000;1.000;1.000;1.200;1.500;1.800;1.800;2.100;2.000;1.000;1.000;1.300;;;;
NEPAL;;;;1.000;1.000;2.000;1.500;2.000;1.000;3.000;3.600;3.500;5.300;4.000;6.400;;;;
NEW CALEDONIA;;;;7.397;7.251;7.717;7.853;7.246;7.354;7.525;7.250;6.272;6.469;6.068;5.662;;;;
NEW ZEALAND;;;;77.825;76.804;77.454;73.397;54.404;62.029;63.471;76.871;82.433;90.131;94.964;102.514;;;;
OMAN;;;;147.500;144.700;146.300;145.000;105.000;115.000;115.000;130.000;140.000;138.600;121.100;115.700;;;;
PAKISTAN;;;;141.326;160.256;159.457;127.863;94.437;130.038;140.184;136.026;121.122;123.950;182.231;177.222;;;;
PALESTINE;;;;13.500;15.700;16.400;18.400;13.400;17.400;19.700;21.600;21.100;21.100;21.100;21.100;;;;
PHILIPPINES;;;;35.063;38.131;41.107;44.313;46.111;59.623;57.768;64.165;76.822;90.287;116.381;133.188;;;;
QATAR;;;;61.100;59.900;60.500;60.000;40.000;40.000;45.000;60.000;65.000;71.500;69.200;50.200;;;;
SAUDI ARABIA;;;;407.000;399.300;403.600;400.000;390.000;450.000;460.000;540.000;570.000;632.700;672.300;549.400;;;;
SINGAPORE;;;;109.167;116.849;110.814;100.979;73.183;47.273;33.493;32.724;27.955;32.807;61.512;91.096;;;;
SOUTH KOREA;;;;893.159;932.650;1.010.790;1.017.595;1.221.118;1.237.482;1.293.501;1.256.403;1.243.868;1.359.834;1.533.670;1.533.813;;;;
SRI LANKA;;;;2.600;2.800;2.900;3.000;3.000;2.000;7.000;8.000;10.000;13.800;12.500;26.300;;;;
SYRIA;;;;32.985;45.467;36.000;42.000;46.000;78.147;33.160;36.300;35.500;33.400;33.400;33.400;;;;
TADJIKISTAN;;;;5.300;5.700;5.800;6.000;7.000;6.500;7.500;6.000;6.000;6.100;6.100;1.900;;;;
TAHITI;;;;5.200;5.100;5.400;5.000;3.500;3.500;4.000;3.000;2.500;2.500;2.300;2.700;;;;
TAIWAN;;;;325.840;218.610;213.327;141.161;187.262;208.300;235.205;211.578;211.824;235.480;212.236;206.092;;;;
THAILAND;;;;178.291;184.544;172.321;226.805;230.037;346.644;360.441;660.214;663.746;411.402;356.063;328.053;;;;
TUKMENISTAN;;;;3.900;4.200;4.300;4.500;4.500;4.500;5.000;4.500;4.500;4.600;4.600;4.500;;;;
UNITED ARAB EMIRATES;;;;137.000;150.000;135.000;191.544;90.238;136.979;193.268;211.500;206.700;206.700;214.000;166.400;;;;
UZBEKISTAN;;;;28.500;31.100;31.700;43.000;45.000;43.500;48.000;45.000;45.500;46.000;46.000;43.900;;;;
VIETNAM;;;;24.888;23.335;40.115;50.877;62.722;57.778;64.564;44.070;59.857;79.813;117.288;159.501;;;;
YEMEN;;;;4.000;4.700;4.800;5.000;5.000;2.000;2.000;2.000;2.000;2.500;2.300;1.100;;;;
;;;;;;;;;;;;;;;;;;;
AFRICA;;;;784.237;926.966;939.201;889.206;827.160;908.357;1.050.745;1.154.025;1.196.833;1.246.318;1.128.433;981.214;;;;
ALGERIA;;;;71.046;81.803;97.239;111.753;131.259;97.765;165.415;188.990;222.710;217.600;163.700;85.300;;;;
ANGOLA;;;;6.000;8.000;3.500;3.500;10.000;20.000;10.000;17.000;20.000;24.000;14.700;5.600;;;;
BOTSWANA;;;;1.300;1.300;1.700;2.000;1.900;2.100;2.500;3.200;3.100;2.900;3.400;3.500;;;;
BURKINA;;;;500;500;500;600;550;700;500;500;700;700;1.100;1.800;;;;
BURUNDI;;;;500;500;600;700;700;300;200;210;210;200;200;500;;;;
CAMEROON;;;;1.300;1.400;1.400;1.400;1.400;1.400;1.400;1.900;2.400;2.300;1.700;1.900;;;;
CONGO KINSHASA ;;;;200;200;200;500;1.500;1.500;1.500;1.500;1.500;1.500;2.000;1.700;;;;
EGYPT;;;;94.538;132.373;179.149;203.729;158.926;192.848;210.300;222.700;220.000;273.500;258.400;214.800;;;;
GABON;;;;800;1.000;1.200;2.500;2.000;2.000;2.000;3.500;3.000;2.900;1.700;1.700;;;;
GHANA;;;;2.500;3.000;3.500;3.500;4.500;4.000;6.000;6.500;6.600;6.900;3.600;4.200;;;;
IVORY COAST;;;;2.000;2.500;2.000;2.500;3.000;3.500;3.500;5.000;4.000;4.300;4.500;4.300;;;;
KENYA;;;;2.000;3.000;2.000;2.000;5.000;4.000;4.000;2.000;2.500;3.000;2.900;2.400;;;;
LIBERIA;;;;300;200;300;300;200;300;200;210;210;200;200;300;;;;
LIBYA;;;;35.000;35.000;36.000;37.000;37.500;38.000;39.000;20.000;30.000;30.000;38.500;31.600;;;;
MADAGASCAR;;;;930;1.100;1.100;1.000;900;900;1.100;1.200;1.200;1.600;1.200;800;;;;
MALAWI;;;;930;1.100;1.100;1.000;1.000;1.500;1.500;1.000;1.000;1.100;1.200;3.600;;;;
MAURITIUS;;;;2.900;3.500;4.000;4.000;3.000;4.000;3.000;7.000;7.500;8.600;8.000;8.700;;;;
MOROCCO;;;;56.183;75.295;90.941;102.095;93.761;91.119;99.727;117.818;108.177;109.649;120.875;152.324;;;;
NIGERIA;;;;16.000;22.000;7.000;7.000;34.000;25.000;30.000;40.000;40.000;42.000;15.600;19.200;;;;
REUNION;;;;25.142;22.437;24.819;23.267;20.935;20.295;21.111;19.795;19.465;20.605;22.288;23.701;;;;
SENEGAL;;;;3.000;3.000;3.000;3.000;4.000;4.000;3.500;4.000;4.000;4.500;3.700;4.400;;;;
SOUTH AFRICA;;;;419.868;481.558;434.653;329.262;258.129;337.130;396.292;440.002;450.561;439.264;412.670;361.289;;;;
SUDAN;;;;2.000;2.000;2.500;3.000;7.000;2.000;2.000;2.000;1.500;1.800;2.200;2.400;;;;
TANZANIA;;;;2.000;2.000;2.000;2.000;2.000;2.000;3.000;3.000;3.500;1.000;2.600;2.300;;;;
TUNISIA;;;;25.000;30.000;30.000;33.000;35.000;45.000;35.000;37.000;35.000;37.100;36.100;36.400;;;;
UGANDA;;;;3.000;3.500;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;2.200;2.900;;;;
ZAMBIA;;;;2.300;2.700;2.800;2.600;3.000;2.000;2.000;2.000;2.000;2.000;1.700;2.300;;;;
ZIMBABWE;;;;7.000;6.000;3.000;3.000;3.000;2.000;3.000;3.000;3.000;4.100;1.500;1.300;;;;
;;;;;;;;;;;;;;;;;;;
ALL COUNTRIES;;;;45.407.298;47.955.259;50.834.531;49.978.237;49.654.985;55.818.570;57.839.953;60.936.407;63.429.200;65.708.230;66.314.155;69.464.432;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
