"TIME","GEO","UNIT","ENGINE","Value","Flag and Footnotes"
"1993","Netherlands","Number","Total","270,000",""
"1993","Netherlands","Number","125 cm³ or less",":",""
"1993","Netherlands","Number","Over 125 cm³",":",""
"1993","Austria","Number","Total","138,000",""
"1993","Austria","Number","125 cm³ or less","15,000",""
"1993","Austria","Number","Over 125 cm³","123,000",""
"1993","Poland","Number","Total","1,067,634",""
"1993","Poland","Number","125 cm³ or less",":",""
"1993","Poland","Number","Over 125 cm³",":",""
"1993","Portugal","Number","Total","178,000","d"
"1993","Portugal","Number","125 cm³ or less",":",""
"1993","Portugal","Number","Over 125 cm³",":",""
"1993","Romania","Number","Total","113,651",""
"1993","Romania","Number","125 cm³ or less",":",""
"1993","Romania","Number","Over 125 cm³",":",""
"1993","Slovenia","Number","Total","9,967",""
"1993","Slovenia","Number","125 cm³ or less","5,264",""
"1993","Slovenia","Number","Over 125 cm³","4,703",""
"1993","Slovakia","Number","Total","81,263",""
"1993","Slovakia","Number","125 cm³ or less",":",""
"1993","Slovakia","Number","Over 125 cm³",":",""
"1993","Finland","Number","Total","64,000","d"
"1993","Finland","Number","125 cm³ or less","26,000","d"
"1993","Finland","Number","Over 125 cm³","38,000","d"
"1993","Sweden","Number","Total","52,000",""
"1993","Sweden","Number","125 cm³ or less","6,000",""
"1993","Sweden","Number","Over 125 cm³","45,000",""
"1993","United Kingdom","Number","Total","644,000",""
"1993","United Kingdom","Number","125 cm³ or less",":",""
"1993","United Kingdom","Number","Over 125 cm³",":",""
"1993","Iceland","Number","Total","2,000","d"
"1993","Iceland","Number","125 cm³ or less","1,000",""
"1993","Iceland","Number","Over 125 cm³","1,000",""
"1993","Liechtenstein","Number","Total",":",""
"1993","Liechtenstein","Number","125 cm³ or less",":",""
"1993","Liechtenstein","Number","Over 125 cm³",":",""
"1993","Norway","Number","Total","36,000",""
"1993","Norway","Number","125 cm³ or less","4,000","d"
"1993","Norway","Number","Over 125 cm³","32,000","d"
"1993","Switzerland","Number","Total","348,000",""
"1993","Switzerland","Number","125 cm³ or less","189,000",""
"1993","Switzerland","Number","Over 125 cm³","159,000",""
"1993","Former Yugoslav Republic of Macedonia, the","Number","Total","3,003",""
"1993","Former Yugoslav Republic of Macedonia, the","Number","125 cm³ or less",":",""
"1993","Former Yugoslav Republic of Macedonia, the","Number","Over 125 cm³",":",""
"1993","Turkey","Number","Total","743,320",""
"1993","Turkey","Number","125 cm³ or less",":",""
"1993","Turkey","Number","Over 125 cm³",":",""
"1994","Belgium","Number","Total","187,000",""
"1994","Belgium","Number","125 cm³ or less",":",""
"1994","Belgium","Number","Over 125 cm³",":",""
"1994","Bulgaria","Number","Total","232,400",""
"1994","Bulgaria","Number","125 cm³ or less",":",""
"1994","Bulgaria","Number","Over 125 cm³",":",""
"1994","Czech Republic","Number","Total","402,882",""
"1994","Czech Republic","Number","125 cm³ or less","49,020",""
"1994","Czech Republic","Number","Over 125 cm³","353,862",""
"1994","Denmark","Number","Total","49,000",""
"1994","Denmark","Number","125 cm³ or less",":",""
"1994","Denmark","Number","Over 125 cm³",":",""
"1994","Germany (until 1990 former territory of the FRG)","Number","Total","2,083,000","d"
"1994","Germany (until 1990 former territory of the FRG)","Number","125 cm³ or less","290,000","d"
"1994","Germany (until 1990 former territory of the FRG)","Number","Over 125 cm³","1,793,000","d"
"1994","Estonia","Number","Total","2,200",""
"1994","Estonia","Number","125 cm³ or less",":",""
"1994","Estonia","Number","Over 125 cm³",":",""
"1994","Ireland","Number","Total","23,632",""
"1994","Ireland","Number","125 cm³ or less","7,025",""
"1994","Ireland","Number","Over 125 cm³","16,607",""
"1994","Greece","Number","Total","429,000",""
"1994","Greece","Number","125 cm³ or less","195,000",""
"1994","Greece","Number","Over 125 cm³","234,000",""
"1994","Spain","Number","Total","1,288,000",""
"1994","Spain","Number","125 cm³ or less","531,000","d"
"1994","Spain","Number","Over 125 cm³","757,000","d"
"1994","France","Number","Total","744,000",""
"1994","France","Number","125 cm³ or less","284,000",""
"1994","France","Number","Over 125 cm³","460,000",""
"1994","Croatia","Number","Total","9,000",""
"1994","Croatia","Number","125 cm³ or less","4,000",""
"1994","Croatia","Number","Over 125 cm³","5,000",""
"1994","Italy","Number","Total","2,540,000",""
"1994","Italy","Number","125 cm³ or less",":",""
"1994","Italy","Number","Over 125 cm³",":",""
"1994","Cyprus","Number","Total","13,100",""
"1994","Cyprus","Number","125 cm³ or less",":",""
"1994","Cyprus","Number","Over 125 cm³",":",""
"1994","Latvia","Number","Total","11,100",""
"1994","Latvia","Number","125 cm³ or less",":",""
"1994","Latvia","Number","Over 125 cm³",":",""
"1994","Lithuania","Number","Total",":",""
"1994","Lithuania","Number","125 cm³ or less",":",""
"1994","Lithuania","Number","Over 125 cm³",":",""
"1994","Luxembourg","Number","Total","8,000",""
"1994","Luxembourg","Number","125 cm³ or less",":",""
"1994","Luxembourg","Number","Over 125 cm³",":",""
"1994","Hungary","Number","Total","157,407",""
"1994","Hungary","Number","125 cm³ or less","67,000",""
"1994","Hungary","Number","Over 125 cm³","90,000",""
"1994","Malta","Number","Total","17,179",""
"1994","Malta","Number","125 cm³ or less",":",""
"1994","Malta","Number","Over 125 cm³",":",""
"1994","Netherlands","Number","Total","294,000",""
"1994","Netherlands","Number","125 cm³ or less","4,000","d"
"1994","Netherlands","Number","Over 125 cm³","302,000","d"
"1994","Austria","Number","Total","374,000",""
"1994","Austria","Number","125 cm³ or less","15,000",""
"1994","Austria","Number","Over 125 cm³","359,000",""
"1994","Poland","Number","Total","1,008,410",""
"1994","Poland","Number","125 cm³ or less",":",""
"1994","Poland","Number","Over 125 cm³",":",""
"1994","Portugal","Number","Total","192,000","d"
"1994","Portugal","Number","125 cm³ or less",":",""
"1994","Portugal","Number","Over 125 cm³",":",""
"1994","Romania","Number","Total","121,205",""
"1994","Romania","Number","125 cm³ or less",":",""
"1994","Romania","Number","Over 125 cm³",":",""
"1994","Slovenia","Number","Total","8,786",""
